@seenitallbefor @GeoLisszl @DominicRaab @WHO @NOIweala Both organisations are funded by Bill Gates who is also the largest funder of the WHO. They're all effectively different entities under one umbrella.,neutral
"RT @RussPLFC: @davidicke Following the UK, here is the US version of Bill Gates funding or partnering Government Organisations, World Organ…",neutral
"RT @Jordan_Sather_: So the virus dies much faster in direct exposure to sunlight....

And Bill Gates wants to block out the sun. 🤔",negative
"Actually, Fauci,  Scarf-lady and Bill Gates have been doing this for decades
And you didn’t say a damn thing-
IDIOTTE !!",negative
"A BBC News reporter: Amidst the devastation of this earthquake, 
there’s still hope I found Bill Gates wallet!",negative
RT @davidicke: Bill Gates: ‘I wish I could say that we’re halfway through’ coronavirus pandemic (I wish I could say that we're halfway thro…,negative
"@Incognito762 @united__UK @Michigandeplor2 A feeling? No. Facts? Yes.
Bill Gates’s polio vaccine paralyzed over 400,000 children in India.
Nearly half a million children!
And that is just one of many examples.",negative
"@stock_slayer Lysol is safer than the Bill Gates WHO foundation vaccines.
😀",positive
RT @davidicke: Bill Gates: ‘I wish I could say that we’re halfway through’ coronavirus pandemic (I wish I could say that we're halfway thro…,negative
RT @pink_lady56: This is SO true!! I hate the biased media! https://t.co/z33LDkMhv8,negative
"RT @iamkoshiek: I'm sure you have seen these headlines, 

""Zuckerberg loses a $16bn in a day""
""Bill Gates is worth over $100bn""
""Kanye is n…",negative
Horrific! Globalists,negative
RT @tex_suzie: Who you gonna believe? 'Front line' doctor testing &amp; treating patients daily or a 'bought &amp; paid for' expert like Fauci who…,positive
"RT @World_In_Mins: Can I get a🕺🏻💃🏻Healthcare Workers Dancing and or 
#ClapForOurCarers 👏🏻🍳👏🏻 #ClapforHealthcareWorkers
for this Registered…",positive
"RT @iamkoshiek: I'm sure you have seen these headlines, 

""Zuckerberg loses a $16bn in a day""
""Bill Gates is worth over $100bn""
""Kanye is n…",negative
"RT @TheEconomist: Writing in The Economist, Bill Gates sees a future where leaders will need to “participate in regular 'germ games' in the…",negative
RT @Education4Libs: Bill Gates &amp; the Cabal thought they could push vaccinations &amp; microchip technology on us after releasing COVID-19 as a…,neutral
RT @pink_lady56: This is SO true!! I hate the biased media!,negative
"RT @TomWick15: MANDATED VACCINATIONS!

Do to want this form of control over you?

The WHO, CDC, and notable Globalist (Clinton &amp; Bill Gates…",negative
"RT @TarHeelBlueSky: @spudgun2 @jsolomonReports No, they actually lifted his gag order

https://t.co/pVkarufO7C",negative
"@JassenHahn @RealCandaceO Candace Owens is no Bill Gates and has to shown an iota of his potential. He didn’t drop out because he couldn’t hatch it, he dropped out because he was doing something bigger. He didn’t go on spouting moronic nonsense and demonstrating idiocy.",negative
"The human imagination abhors a vacuum. And, in dysfunctional political cultures, much like the present one, there is a conspiratorialist feedback loop: the less you trust, the more you search for alternative authorities (...)

https://t.co/GD1xLnMgYR vía @NewYorker",positive
"RT @SaliTamarra: I bet you didn't know Dr. Fauci sat on MicroSoft's Board of Directors
 - and that Bill Gates - was his Boss...

Now did, y…",positive
"RT @garethicke: Why are we being dictated to by an unelected software developing mate of Jeffrey Epstein? 

https://t.co/lCBZO4RhYp",negative
"@eugenegu @realDonaldTrump Still wouldnt be as dangerous as bill gates and his vaccines ... well done on @realDonaldTrump helping ethiopoa out on ventilators, perhaps to try and soften the blow of all the deformities, cancers and deaths caused by Bill Gates Q",negative
RT @Jim_Peoples_: AG Barr Opposes Bill Gates Proposal for COVID-19 Vaccine Certificates https://t.co/4jxlbaPc1D via @epochtimes,neutral
