"RT @marklevinshow: Mark Levin: the first to ring the alarm on the Obama administration’s surveillance against Donald Trump
https://t.co/l7g…",neutral,0
RT @svdate: US intel started seeing signs of an epidemic in China in late November. That threat began showing up in Trump's intelligence pa…,negative,-0.955564
RT @navstadt: NY County Finds Trump Delivered Not Only 200k Masks He Promised but 50k Extra in Just 2 Days https://t.co/ZlV2JE5cPE Despite…,negative,-0.839992
"RT @tedcruz: The Ayatollah leads chants of “death to America.” He pledges to destroy America, which he calls “the Great Satan.” And Senate…",negative,-0.714537
"Hypocrite Michael Moore, White Man Hater, Spreading His Poison, Ranting That “‘White Men Have a Big Responsibility to Make Amends for the Trump Era’” https://t.co/Rre1PXVcsh",negative,-0.840509
"RT @sanjaysriv: @hesivh Well said...perpetual vicious circle

Unfortunately, India is destined to suffer this viciousness perpetually.",negative,-0.966518
"@seanhannity Do you know why he was “calling out” all these “celebrities “ to spread the word by making videos about Covid-19 on Twitter. Who cares what celebrities think or say. Why is it if people have “money”, no matter where they got it, they are an authority on pretty much everything?",negative,-0.683939
RT @funder: BREAKING: Jim Acosta just called Trump out for using these press conferences to paint a rosy picture of what’s happening right…,negative,-0.730874
RT @mcbyrne: I want to help Bernie alums get hired.  You know where to reach me. Let’s get our people hired.  (Also hi me!),neutral,0
"RT @TeamTrump: WATCH: Faith in America! #FaithInAmerica 

Text TRUMP to 88022 https://t.co/XeMQWGNfaT",neutral,0
"RT @JoeySalads: BREAKING: Army field hospital for Covid-19 surge leaves Seattle.
It never saw a single patient.",negative,-0.787135
"RT @JohnJHarwood: new @CNN poll of registered voters: 

Biden 53%
Trump 42%",neutral,0
"RT @ANaayak_: They agree it is ancient

They agree the bridge is not natural

They agree that it is not humanly possible to build this

The…",negative,-0.64568
Trump supporters no doubt! #VoteBLUE,neutral,0
"RT @AskAnshul: Recently in Indore, mob attacked health workers who came to locate COVID-19 infected people

Now, one of the accused attacke…",negative,-0.956374
"RT @marklevinshow: Mark Levin: the first to ring the alarm on the Obama administration’s surveillance against Donald Trump
https://t.co/l7g…",neutral,0
"RT @McFaul: To repeat, Trump did not close down the country.  So Trump cannot open up the country.",negative,-0.95216
"RT @DeepStateExpose: Bill Gates wants to vaccinate everyone in the world, then have us tracked with a microchiped certificate (To prove we…",negative,-0.567357
RT @LouDobbs: A large number of Obama-era DOJ and FBI officials should be behind bars:  Newly declassified documents show the FBI knew some…,negative,-0.944325
"RT @theskindoctor13: Tiktokiye are getting #COVID despite 5 times namaz.

It's a clear proof that with Trump's help, Modi has put a satelli…",negative,-0.731023
"President Trump. I can only imagine what he goes thru in one day. It would give me even more sympathy for him, I think.",negative,-0.780034
RT @AmericaYoure: @iskandrah @NomikiKonst @JoeBiden Good. Because #BernieOnTheBallot and 26 states are still waiting to vote. Can’t wait to…,neutral,0
I support this message.,positive,0.614164
"RT @sharmasupriya: Every single day the health ministry spokesperson creates confusion.

Says one thing in the press conference – watched b…",neutral,0
RT @LouDobbs: Newsom: Trump Has Met ‘Every Single Direct Request That He Was Capable of Meeting‘ https://t.co/GHnuJeJCLS #KAG @realDonaldTr…,neutral,0
I am not here to accept your drafted message. I submitted a complaint against #AxisBankFraud to respected @RBI @RBIsays @DasShaktikanta and consumer court of India.,negative,-0.913995
"RT @KevBoat44: HOLY SH!T

Deepstate Fauci just got caught leaking info to the mockingbird &amp; trump knows.

The Sham is up! https://t.co/useG…",negative,-0.877988
"RT @w_terrence: DISGUSTING BEHAVIOR 
She shouldn’t Judge at ALLLLL!

Liberal Podcast host @irishrygirl said F**k President Trump &amp; his supp…",negative,-0.965074
"RT @blakesmustache: The new troll mantra “my vote must be earned” is an Active Measures campaign.

They want to help Bernie push Biden to s…",positive,0.694651
"RT @SarahEHackett: Yep. This. I despair at the UK government’s failure to properly respond to #COVID2019, yet watching Trump’s ridiculous r…",negative,-0.969658
"RT @RohitInExile: Dear @narendramodi, I wish to request you on behalf of all the Nationalists that we should not give Hydroxychloroquine to…",negative,-0.874998
RT @realTuckFrumper: Ex-CDC director slams Trump’s ‘mind-boggling’ incompetence — and warns more ‘epic failures’ are coming https://t.co/lZ…,negative,-0.927409
"RT @MollyJongFast: Well trump knows he can’t win New York but he’s hoping to win Florida, hence. https://t.co/LrU1DwLfvn",negative,-0.598575
"RT @realDonaldTrump: Nobody wants to say that if Elizabeth Warren gets out of the race before Super Tuesday, Crazy Bernie Sanders wins virt…",negative,-0.728482
"RT @theskindoctor13: Tiktokiye are getting #COVID despite 5 times namaz.

It's a clear proof that with Trump's help, Modi has put a satelli…",negative,-0.731023
RT @shashan2K: Mangal Pandey was an Indian soldier who played a key part in the events immediately preceding the outbreak of the Indian reb…,neutral,0
"First of all who really cares what he says he’s seen bcuz we all know that he’s a pathological liar and secondly, it really doesn’t matter bcuz where can we go &amp; who can we see? If we can’t use gas to make hand sanitizers then screw it!!!",negative,-0.720421
RT @JumpShiveSlim13: I see you playa! https://t.co/igyNnicD08,positive,0.736696
"RT @Tombx7M: Hidden Biden cannot hide the fact that he has been in bed with China for years. 

#FoxandFriends #Tcot #Ccot #COVIDー19 #KAG #T…",negative,-0.306855
".@ohyoisan 
Novel Coronavirus Information Center
Elsevier’s free health and medical research on the novel coronavirus (SARS-CoV-2) and COVID-19

https://t.co/OYlYE2vuIy

#COVID-19",neutral,0
"RT @Wade_Turnbull: @jaketapper CNN’s Coverage of Sanders Was 3X More Negative Than Biden Following Their Big Primary Wins
https://t.co/ZArI…",negative,-0.616412
"RT @CNN: A 15-year-old boy from an isolated Amazonian tribe who tested positive for Covid-19 has died, raising concerns about the coronavir…",negative,-0.66201
What Recovery From COVID-19 Looks Like https://t.co/XT0ihFEEAV via @sciam,neutral,0
RT @Education4Libs: The same people telling Trump he doesn’t know anything about medicine are the same ones listening to a 16 year old on c…,negative,-0.829306
RT @PalmerReport: I don’t think Trump is gonna make it.,negative,-0.792806
"RT @AGWillliamBarr: More than 2,000 US COVID-19 Deaths were reported yesterday.

Last year on that day, we had over 500 deaths from Lung Ca…",negative,-0.946087
"RT @AGWillliamBarr: When Bernie Sanders dropped out of the Race in 2016, there was no path to victory because Hillary had secured enough De…",negative,-0.842728
"RT @JRubinBlogger: Trump demands everyone be tested before visiting him but will not demand the same for Americans before ""reopening"" the c…",negative,-0.744403
RT @EFFSouthAfrica: EFF Rejects The Call for the Lift of the Alcohol Ban During The National Lockdown to Combat COVID-19 https://t.co/GDK3l…,neutral,0
@Paularae06 @baddonaldbad @Ruavoteslav1 @Acosta Have you actually ever listened to Donald Trump?,neutral,0
